Capacity,Fastcharge,ChargeSpeed,Range
63,340,29,330
52,370,35,295
76.6,540,52,425
76.6,500,49,400
52,360,34,285
76.6,510,49,405
76.6,490,47,385
76.6,490,47,385
64.7,470,40,280
86.5,590,39,365
86.5,590,39,365
85,1000,45,405
85,1030,46,420
86.5,510,35,320
86.5,540,36,335
64.7,490,43,295
86.5,600,41,375
86.5,600,41,375
37.9,270,58,235
37.9,260,57,230
80.7,630,52,450
80.7,660,55,475
105.2,590,43,485
71,470,46,350
105.2,620,45,505
74,520,49,385
45,410,38,275
58,490,56,350
58,480,56,345
77,570,55,450
45,320,28,200
45,310,27,195
45,420,37,265
45,290,25,180
65,290,24,250
45,280,24,175
65,290,24,250
45,290,25,180
45,420,36,260
26.8,170,36,170
37.3,390,59,235
37.3,380,58,230
21.3,230,59,135
37.3,390,59,235
88,410,45,420
88,430,47,440
88,400,44,410
68,360,45,330
68,380,47,345
28.5,190,33,170
28.5,190,33,170
72.6,950,50,385
72.6,920,48,375
58,720,50,310
58,710,49,305
38.3,220,40,250
39.2,210,39,250
64,370,58,395
39,160,32,225
84.7,360,42,380
77.4,970,48,395
77.4,1030,51,420
77.4,1010,50,410
58,740,52,320
39.2,230,37,235
64,350,35,370
39.2,220,36,230
64,350,35,370
45,150,29,235
60,540,170,575
105,1390,110,630
85,1410,110,540
85,1390,110,530
48.8,340,34,295
57,340,33,340
57,340,56,340
65,400,49,340
65,390,47,330
68.3,360,34,370
48,260,30,260
30,180,32,170
66.5,510,50,355
66.5,500,49,350
66.5,500,49,350
66.5,400,47,335
66.5,400,47,335
80,440,43,370
90,680,56,535
90.6,690,56,545
107.8,840,56,640
107.8,800,53,610
107.8,740,49,565
60,200,34,215
60,200,34,215
90,320,33,320
90,320,33,320
28.9,260,60,185
63,450,33,335
87,530,96,445
87,500,90,420
87,460,83,385
37,230,19,225
56,390,33,325
45,320,28,200
45,310,27,195
45,460,40,285
45,410,36,255
45,280,24,175
65,290,24,250
45,290,25,180
65,290,24,250
45,290,25,180
45,410,36,255
45,460,40,285
45,310,27,195
45,320,28,200
45,290,25,180
45,280,24,175
68,280,24,260
45,290,25,180
68,290,25,265
75,510,49,395
75,550,53,425
61,430,54,350
71,790,52,395
83.7,890,45,405
71,750,49,375
83.7,890,45,405
83.7,960,49,435
83.7,1010,51,460
83.7,960,49,435
83.7,1010,51,460
83.7,880,45,400
83.7,850,43,385
83.7,860,44,390
83.7,840,42,380
31,32,32,160
40,350,39,245
60,520,38,365
60,520,38,360
21.3,110,110,130
41,230,110,255
52,230,110,315
52,230,110,310
32.3,170,39,205
52,390,29,270
52,240,35,295
58,460,53,330
77,530,51,420
77,500,49,400
77,500,48,395
16.7,22,22,95
16.7,22,22,95
16.7,23,23,100
47,310,52,260
56,290,29,290
71.4,490,29,375
57,630,62,380
70,650,60,455
75,670,60,485
76,790,58,470
95,810,86,585
95,780,83,560
95,680,72,490
95,650,69,465
70,590,55,410
76,710,52,425
45,280,24,175
65,290,24,250
45,290,25,180
65,290,24,250
71.4,490,29,375
71.4,490,30,380
58,490,56,350
58,490,56,350
77,570,55,450
77,570,55,450
45,410,38,275
77,500,49,400
77,520,50,410
52,360,34,285
52,360,34,285
77,550,50,410
77,540,52,430
77,540,52,430
32.3,170,39,205
75,440,42,340
67,400,44,315
75,440,42,340
